label,width,height,megapixels,color,components,precision,quality,elapsed_ms,rss_start_bytes,rss_end_bytes,peak_rss_bytes,output_bytes,caller_owned_source_bytes,estimated_encoder_transient_peak,estimated_total_owned_peak,encode_context_prepared_clone,source_load_scratch_one_component,dwt_coefficients_one_component,dwt_scratch_one_component,quantized_one_component,codeblock_coefficient_copies_all_components,tier1_analysis_coefficient_copies_all_components,final_output_buffer
12MP,4242,2828,11.996,gray,1,8,100,311.912,2510848,132145152,154415104,11739396,11996376,251666916,263663292,0,47985504,47985504,47985504,0,47985504,47985504,11739396
12MP,4242,2828,11.996,rgb,3,8,100,353.830,132145152,361607168,454041600,5864500,35989128,725647060,761636188,0,47985504,47985504,47985504,0,143956512,143956512,5864500
24MP,6000,4000,24.000,gray,1,8,100,655.258,361607168,404373504,575664128,23699525,24000000,503699525,527699525,0,96000000,96000000,96000000,0,96000000,96000000,23699525
24MP,6000,4000,24.000,rgb,3,8,100,681.847,380669952,708153344,1026945024,11596877,72000000,1451596877,1523596877,0,96000000,96000000,96000000,0,288000000,288000000,11596877
