label,width,height,megapixels,color,components,precision,quality,elapsed_ms,rss_start_bytes,rss_end_bytes,peak_rss_bytes,output_bytes,caller_owned_source_bytes,estimated_encoder_transient_peak,estimated_total_owned_peak,encode_context_prepared_clone,source_load_scratch_one_component,dwt_coefficients_one_component,dwt_scratch_one_component,quantized_one_component,codeblock_coefficient_copies_all_components,tier1_analysis_coefficient_copies_all_components,final_output_buffer
12MP,4242,2828,11.996,gray,1,8,100,301.223,2531328,32382976,110886912,11739396,11996376,155695908,167692284,0,47985504,47985504,47985504,0,0,0,11739396
12MP,4242,2828,11.996,rgb,3,8,100,342.364,32382976,39399424,354435072,5864500,35989128,437734036,473723164,0,47985504,47985504,47985504,0,0,0,5864500
24MP,6000,4000,24.000,gray,1,8,100,607.420,39399424,83087360,354435072,23699525,24000000,311699525,335699525,0,96000000,96000000,96000000,0,0,0,23699525
24MP,6000,4000,24.000,rgb,3,8,100,676.938,59383808,75038720,705581056,11596877,72000000,875596877,947596877,0,96000000,96000000,96000000,0,0,0,11596877
